,AO_NUMBER,deal_time,NEXT_AOS,type,worker,no,constraints,position_con,con
87,150A103BW0010,1.0,"73,74",特设,2,87,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
88,150A103BW0020,2.0,49,特设,2,88,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
89,150A103BW0030,2.0,49,特设,2,89,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
90,150A103BW0040,2.0,49,特设,2,90,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
91,150A103BW1010,4.0,49,特设,3,91,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
92,150A103BW1020,4.0,49,特设,3,92,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
93,150A103BW1030,4.0,49,特设,3,93,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
94,150A103BW1040,4.0,49,特设,3,94,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
95,150A103BW1050,4.0,49,特设,3,95,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
96,150A103BW1060,2.0,49,特设,3,96,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
97,150A103BW1070,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,97,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
98,150A103BW1080,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,98,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
99,150A103BW1090,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,99,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
100,150A103BW2010,4.0,49,特设,3,100,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
101,150A103BW2015,4.0,49,特设,3,101,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
102,150A103BW2020,4.0,49,特设,3,102,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
103,150A103BW2030,4.0,49,特设,3,103,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
104,150A103BW2040,4.0,49,特设,3,104,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
105,150A103BW2050,4.0,49,特设,2,105,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
106,150A103BW2060,2.0,49,特设,3,106,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
107,150A103BW2070,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,107,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
108,150A103BW2080,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,108,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
109,150A103BW2090,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,109,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
110,150A103BW3010,8.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,110,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
111,150A103BW3020.01,4.0,,特设,2,111,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
112,150A104CB0020,5.0,,结构,4,112,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
113,150A104CB0030,4.0,,结构,4,113,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
114,150A104CB0040,3.0,,结构,4,114,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
115,150A104CB0050,3.0,,结构,4,115,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
116,150A104CB0060,4.0,,结构,2,116,"2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
117,150A104CB0070,4.0,,结构,2,117,"2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
118,150A104CB0080,3.0,,结构,3,118,"3,0,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
119,150A104CB0090,5.0,,结构,4,119,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
120,150A104CB0100,4.0,,结构,4,120,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
121,150A104CB0120,4.0,,结构,4,121,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
122,150A104CB0130,5.0,,结构,3,122,"3,0,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
123,150A104CB0150,5.0,,结构,3,123,"3,0,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
124,150A104CB0170,5.0,,结构,6,124,"6,0,0","0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
125,150A104CB0175,8.0,,结构,6,125,"6,0,0","0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
126,150A104CB0200,8.0,,结构,4,126,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
127,150A104CB0220,8.0,,结构,4,127,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
128,150A104CB0240,8.0,,结构,4,128,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
129,150A104CD0010,5.0,,机械,2,129,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
130,150A104CD0020,5.0,,机械,3,130,"0,3,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
131,150A104CD0030,4.0,,机械,4,131,"0,4,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
132,150A104CD0040,5.0,,机械,3,132,"0,3,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
133,150A104CD0050,3.0,,机械,2,133,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
134,150A104CD0060,5.0,,机械,3,134,"0,3,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
135,150A104CD0070.01,4.0,,机械,2,135,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
136,150A104CD0080,3.0,,机械,4,136,"0,4,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
137,150A104CD0090,3.0,,机械,4,137,"0,4,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
138,150A104CD0100,4.0,,机械,2,138,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
139,150A104CD0110.01,3.0,,机械,2,139,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
140,150A104CE0270,2.0,,特设,2,140,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
141,150A104CE0380,2.0,,特设,2,141,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
142,150A104CE2354,2.0,,特设,2,142,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
143,150A104CE2856,2.0,,特设,2,143,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
144,150A104CH0010,3.0,,机械,2,144,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
145,150A104CH0020,5.0,,机械,3,145,"0,3,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
146,150A104CK0030,5.0,,结构,4,146,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
147,150A104CL0010,4.0,,结构,6,147,"6,0,0","0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
148,150A104CL0020,4.0,,结构,6,148,"6,0,0","0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
149,150A104CL0040,3.0,,结构,4,149,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150,150A104CL0050,3.0,,结构,4,150,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
151,150A104CW0020,4.0,,特设,2,151,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
152,150A104CW0030,4.0,,特设,2,152,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
153,150A104CW0080,8.0,,特设,3,153,"0,0,3","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
154,150A104CW0110,2.0,,特设,2,154,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
155,150A104CW0190,4.0,,特设,4,155,"0,0,4","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
156,150A104CW0200,2.0,,特设,2,156,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
157,150A104CW0220,2.0,,特设,2,157,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
158,150A104CW0230,2.0,,特设,2,158,"0,0,2","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
159,150A105DB0180,8.0,,结构,2,159,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
160,150A105DB0190,8.0,,结构,6,160,"6,0,0","0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0"
161,150A105DB0200,8.0,,结构,6,161,"6,0,0","0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0"
162,150A105DD0010,8.0,,机械,3,162,"0,3,0","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
163,150A105DE0070,4.0,,特设,2,163,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
164,150A105DE0075,4.0,,特设,2,164,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
165,150A105DE0080,4.0,,特设,2,165,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
166,150A105DE0085,4.0,,特设,2,166,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
167,150A105DE0100,2.0,,特设,4,167,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
168,150A105DE0110,2.0,,特设,2,168,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
169,150A105DE0130,2.0,,特设,3,169,"0,0,3","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
170,150A105DE0160,2.0,,特设,2,170,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
171,150A105DE0200,2.0,,特设,2,171,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
172,150A105DE0250,2.0,,特设,2,172,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
173,150A105DE0280,2.0,,特设,2,173,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
174,150A105DG0010,8.0,,机械,4,174,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
175,150A105DG0020,8.0,,机械,3,175,"0,3,0","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
176,150A105DG0030,8.0,,机械,4,176,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
177,150A105DG0040,8.0,,机械,4,177,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
178,150A105DG0060,8.0,,机械,4,178,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
179,150A105DH0030,8.0,,机械,3,179,"0,3,0","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
180,150A105DH0040,4.0,,机械,2,180,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
181,150A105DH0050,8.0,,机械,2,181,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
182,150A105DH0060,4.0,,机械,2,182,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
183,150A105DH0070,4.0,,机械,2,183,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
184,150A105DK0020,4.0,,机械,2,184,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
185,150A105DK0030,4.0,,机械,2,185,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
186,150A105DL0010,4.0,,结构,4,186,"4,0,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
187,150A105DL0020,4.0,,结构,4,187,"4,0,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
188,150A105DL0040,2.5,,结构,2,188,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
189,150A105DL0050,6.0,,结构,2,189,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
190,150A105DL0060,2.0,,结构,2,190,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
191,150A105DL0070,2.5,,结构,2,191,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
192,150A105DW0010,2.0,,特设,3,192,"0,0,3","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
193,150A105DW0020,2.0,,特设,4,193,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
194,150A105DW0030,2.0,,特设,4,194,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
195,150A105DW0040,2.0,,特设,4,195,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
196,150A105DW0050,2.0,,特设,4,196,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
197,150A105DW0060,2.0,,特设,3,197,"0,0,3","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
198,150A105DW0090,2.0,,特设,3,198,"0,0,3","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
199,150A105DW0100,2.0,,特设,4,199,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
200,150A105DZ0010,3.0,,特设,1,200,"0,0,1","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
201,150A105DZ0030,5.0,,结构,2,201,"2,0,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
202,150A106EA0040,8.0,,特设,2,202,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
203,150A106EA0050,3.0,,特设,2,203,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
204,150A106EE0070,4.0,,特设,2,204,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
205,150A106EE0080,4.0,,特设,2,205,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
206,150A106EE0090,4.0,,特设,2,206,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
207,150A106EE0110,4.0,,特设,2,207,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
208,150A106EE0290,4.0,,特设,2,208,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
209,150A106EE0310,4.0,,特设,2,209,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
210,150A106EE0320,4.0,,特设,2,210,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
211,150A106EE0330,4.0,,特设,2,211,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
212,150A106EE0340,4.0,,特设,2,212,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
213,150A106EE0350,4.0,,特设,2,213,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
214,150A106EE0370,4.0,,特设,2,214,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
215,150A106EE0375,4.0,,特设,2,215,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
216,150A106EE0380,4.0,,特设,2,216,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
217,150A106EH0180,8.0,,机械,2,217,"0,2,0","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
218,150A106EW0030,8.0,,特设,4,218,"0,0,4","0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0"
