,AO_NUMBER,deal_time,NEXT_AOS,type,worker,no,constraints,position_con,con
0,150A101ZF3201,2.0,2,机械,4,0,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4"
1,150A101ZF3202,2.0,0,机械,12,1,"0,12,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12","0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12"
2,150A101ZF3203,1.0,"11,4,3,13,8,9,29,22,87,47,76,77,79,80,82,83",机械,12,2,"0,12,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12","0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12"
3,150A102AA0010,5.0,5,特设,2,3,"0,0,2","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4,150A102AA0050,5.0,14,机械,2,4,"0,2,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5,150A102AE0020,3.0,12,特设,3,5,"0,0,3","3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
6,150A102AE0050,4.0,,特设,2,6,"0,0,2","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7,150A102AE0060,4.0,,特设,2,7,"0,0,2","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,150A102AL0010,2.0,6,结构,2,8,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,150A102AL0020,2.0,6,结构,2,9,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10,150A102AL0030,4.0,17,结构,2,10,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
11,150A102AS0010,4.0,10,结构,2,11,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12,150A102AS0030,6.0,,结构,3,12,"3,0,0","3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
13,150A102AS0040,5.0,"11,15",结构,2,13,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14,150A102AS0050,8.0,,机械,2,14,"0,2,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
15,150A102AS0060,6.0,16,结构,3,15,"3,0,0","3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
16,150A102AS0070,2.0,7,特设,3,16,"0,0,3","3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
17,150A102AS0080,3.0,"18,31",结构,2,17,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
18,150A102AW0010,3.0,"35,36,37",特设,3,18,"0,0,3","3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
19,150A102EA0020,4.0,23,特设,2,19,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
20,150A102EA0025,4.0,23,特设,2,20,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
21,150A102EA0030,4.0,"19,20",特设,4,21,"0,0,4","0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0"
22,150A102EE0460,1.0,"26,27",特设,2,22,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
23,150A102EH0060,8.0,24,机械,3,23,"0,3,0","0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0"
24,150A102EH0070,8.0,25,机械,3,24,"0,3,0","0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0"
25,150A102EH0160,8.0,,机械,3,25,"0,3,0","0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0"
26,150A102EW0010,12.0,21,特设,2,26,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
27,150A102EW0015,12.0,21,特设,2,27,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
28,150A102MA0010,5.0,,特设,2,28,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0"
29,150A102MA0020,5.0,28,特设,1,29,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
30,150A102SA0020,3.0,33,特设,2,30,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
31,150A102SA0050,1.0,"35,36,37",特设,2,31,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
32,150A102SE0010,2.0,,特设,2,32,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
33,150A102SE0020,3.0,32,特设,2,33,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
34,150A102SE0030,4.0,30,特设,2,34,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
35,150A102SW0010,4.0,34,特设,2,35,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
36,150A102SW0020,4.0,34,特设,2,36,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
37,150A102SW0030,4.0,34,特设,2,37,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
38,150A103BA0010,4.0,49,特设,2,38,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
39,150A103BB0010,8.0,49,结构,8,39,"8,0,0","0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
40,150A103BB0020,8.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",结构,3,40,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
41,150A103BB0030,8.0,,结构,4,41,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
42,150A103BB0060,8.0,41,结构,4,42,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
43,150A103BB0070,8.0,41,结构,4,43,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
44,150A103BB0150,8.0,"39,91,92,93,94,95,96,38,88,89,90,58,59,60,46",结构,2,44,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
45,150A103BD0040,8.0,,机械,4,45,"0,4,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
46,150A103BD0050,8.0,49,机械,4,46,"0,4,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
47,150A103BD0070,5.0,"73,74",机械,3,47,"0,3,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
48,150A103BD0080,8.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",机械,2,48,"0,2,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
49,150A103BD0100,8.0,"40,51,52,53,56,66,67,68,97,98,99,48",机械,4,49,"0,4,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
50,150A103BE1010,4.0,41,特设,2,50,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
51,150A103BE1020,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,51,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
52,150A103BE1030,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,52,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
53,150A103BE2010,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,53,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
54,150A103BE2020,4.0,41,特设,2,54,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
55,150A103BE2025,8.0,41,特设,2,55,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
56,150A103BE2030,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65",特设,2,56,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
57,150A103BE2040,1.0,41,特设,2,57,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
58,150A103BE2070,2.0,49,特设,2,58,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
59,150A103BE2080,2.0,49,特设,2,59,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
60,150A103BE2090,2.0,49,特设,2,60,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
61,150A103BE2100,1.0,41,特设,2,61,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
