componet_no,group_id,length,width,material_no,material_width,materail_length
225A8130-290-009,46,1544,264,110000000631,1320,4000
225A8130-290-010,46,1544,264,110000000631,1320,4000
225A8130-310-009,47,1704,254,110000000631,1320,4000
225A8130-310-010,47,1704,254,110000000631,1320,4000
225A8130-320-009,48,1864,264,110000000631,1320,4000
225A8130-320-010,48,1864,264,110000000631,1320,4000
225A8130-330-009,49,1807,244,110000000631,1320,4000
225A8130-330-010,49,1807,244,110000000631,1320,4000
225A8130-340-011,50,1574,244,110000000631,1320,4000
225A8130-340-010,50,1574,244,110000000631,1320,4000
225A8130-350-009,51,314,264,110000000631,1320,4000
225A8130-350-010,51,314,264,110000000631,1320,4000
225A8130-360-009-0,52,264,254,110000000631,1320,4000
225A8130-360-009-1,52,264,254,110000000631,1320,4000
225A8130-360-009-2,52,264,254,110000000631,1320,4000
225A8130-360-009-3,52,264,254,110000000631,1320,4000
225A8130-360-010-0,52,264,254,110000000631,1320,4000
225A8130-360-010-1,52,264,254,110000000631,1320,4000
225A8130-360-010-2,52,264,254,110000000631,1320,4000
225A8130-360-010-3,52,264,254,110000000631,1320,4000
225A8130-370-009,53,484,334,110000000631,1320,4000
225A8130-370-010,53,484,334,110000000631,1320,4000
225A8130-390-009,54,314,264,110000000631,1320,4000
225A8130-390-010,54,314,264,110000000631,1320,4000
225A8130-410-009,55,264,244,110000000631,1320,4000
225A8130-410-010,55,264,244,110000000631,1320,4000
225A8130-430-009,56,714,264,110000000631,1320,4000
225A8130-430-010,56,714,264,110000000631,1320,4000
225A8130-440-009,57,1254,194,110000000631,1320,4000
225A8130-440-010,57,1254,194,110000000631,1320,4000
225A8130-450-009,58,1484,194,110000000631,1320,4000
225A8130-450-010,58,1484,194,110000000631,1320,4000
225A8130-460-009,59,1439,384,110000000631,1320,4000
225A8130-460-010,59,1439,384,110000000631,1320,4000
225A8130-470-009,60,1369,324,110000000631,1320,4000
225A8130-470-010,60,1369,324,110000000631,1320,4000
225A8130-480-009,61,1309,334,110000000631,1320,4000
225A8130-480-010,61,1309,334,110000000631,1320,4000
225A8130-490-009,62,1069,204,110000000631,1320,4000
225A8130-490-010,62,1069,204,110000000631,1320,4000
225A8130-510-009,63,1114,264,110000000631,1320,4000
225A8130-510-010,63,1114,264,110000000631,1320,4000
225A8130-520-009,64,984,214,110000000631,1320,4000
225A8130-520-010,64,984,214,110000000631,1320,4000
225A8130-530-009,65,1199,384,110000000631,1320,4000
225A8130-540-009,66,1019,147,110000000631,1320,4000
225A8130-550-009,67,449,444,110000000631,1320,4000
225A8130-560-011,68,1485,368,110000000631,1320,4000
225A8130-560-013,68,1586,469,110000000631,1320,4000
225A8140-030-005,69,1235,515,110000000631,1320,4000
225A8140-030-007,69,1336,616,110000000631,1320,4000
225A8140-040-005,70,725,405,110000000631,1320,4000
225A8140-040-007,70,826,506,110000000631,1320,4000
225A8140-050-005,71,515,465,110000000631,1320,4000
225A8140-050-007,71,616,566,110000000631,1320,4000
225A8140-060-005,72,515,465,110000000631,1320,4000
225A8140-060-007,72,616,566,110000000631,1320,4000
